Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Ocarina of Time,1998-11-21,1029,15,27,co3nnx
2,The Last of Us,2013-06-14,1009,14,320,co1r7f
3,Super Mario 64,1996-06-23,1074,13,30,co21mm
4,Final Fantasy VII,1997-01-31,427,12,247,co2kx2
5,GoldenEye 007,1997-08-23,1638,11,219,co62k0
6,Tetris,1984-12-31,180279,10,421,co4vot
7,BioShock,2007-08-21,20,9,391,co2mli
8,Street Fighter II,1991-02-01,3186,8,425,co55et
9,World of Warcraft,2004-11-23,123,7,514,co2l7z
10,Grand Theft Auto V,2013-09-17,1020,6,323,co2lbd
