Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Final Fantasy VII,1997-01-31,427,15,247,co2kx2
2,Metal Gear Solid,1998-09-03,375,14,237,co55sj
3,The Last of Us,2013-06-14,1009,13,320,co1r7f
4,The Legend of Zelda: Ocarina of Time,1998-11-21,1029,12,27,co3nnx
5,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,11,23,co3p2d
6,Super Mario 64,1996-06-23,1074,10,30,co21mm
7,God of War,2018-04-20,19560,9,345,co1tmu
8,Pokémon Blue,1996-10-15,1511,8,587,co5pi7
9,The Witcher 3: Wild Hunt,2015-05-19,1942,7,347,co1wyy
10,Grand Theft Auto: San Andreas,2004-10-26,732,6,304,co2lb9
11,Super Mario World,1990-11-21,1070,5,371,co65za
12,Grand Theft Auto V,2013-09-17,1020,4,323,co2lbd
13,Street Fighter II,1991-02-01,3186,3,425,co55et
14,Resident Evil 2,1998-01-21,880,2,248,co2vz0
15,Assassin's Creed II,2009-11-17,127,1,500,co1rcf
