Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Minecraft,2011-11-18,121,15,201,co49x5
2,Tetris,1984-12-31,180279,14,421,co4vot
3,Super Mario 64,1996-06-23,1074,13,30,co21mm
4,The Witcher 3: Wild Hunt,2015-05-19,1942,12,347,co1wyy
5,Super Smash Bros. Ultimate,2018-12-07,90101,11,91,co2255
6,The Legend of Zelda: Ocarina of Time,1998-11-21,1029,10,27,co3nnx
7,Batman: Arkham City,2011-10-18,501,9,327,co1voh
8,Halo: Combat Evolved,2001-11-15,740,8,153,co2r2r
9,Half-Life 2,2004-11-16,233,7,160,co1nmw
10,Pokémon Red,1996-02-27,1561,6,513,co5pi4
11,Street Fighter II,1991-02-01,3186,5,425,co55et
12,The Last of Us,2013-06-14,1009,4,320,co1r7f
13,Grand Theft Auto V,2013-09-17,1020,3,323,co2lbd
14,God of War,2018-04-20,19560,2,345,co1tmu
15,Bloodborne,2015-03-24,7334,1,346,co1rba
