Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Last of Us,2013-06-14,1009,15,320,co1r7f
2,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,14,23,co3p2d
3,Elden Ring,2022-02-25,119133,13,10,co4jni
4,Tetris,1984-12-31,180279,12,421,co4vot
5,Super Mario 64,1996-06-23,1074,11,30,co21mm
6,Final Fantasy VII,1997-01-31,427,10,247,co2kx2
7,BioShock,2007-08-21,20,9,391,co2mli
8,Grand Theft Auto V,2013-09-17,1020,8,323,co2lbd
9,Pokémon Red Version,1996-02-27,1561,7,513,co5pi4
10,Minecraft,2011-11-18,121,6,201,co49x5
11,Halo: Combat Evolved,2001-11-15,740,5,153,co2r2r
12,Mass Effect Legendary Edition,2021-05-14,140839,4,367,co2k5h
13,Shadow of the Colossus,2005-10-18,2207,3,306,co1ozz
14,Street Fighter II,1991-02-01,3186,2,425,co55et
15,The Legend of Zelda: Ocarina of Time,1998-11-21,1029,1,27,co3nnx
