Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Dark Souls,2011-09-22,2155,15,26,co1x78
2,Doom,1993-12-10,673,14,505,co5rav
3,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,13,23,co3p2d
4,Half-Life 2,2004-11-16,233,12,160,co1nmw
5,Minecraft,2011-11-18,121,11,201,co49x5
6,Street Fighter II: The World Warrior,1991-06-22,39306,10,506,co2suq
7,Tetris,1984-12-31,180279,9,421,co4vot
8,The Last of Us,2013-06-14,1009,8,320,co1r7f
9,Super Mario 64,1996-06-23,1074,7,30,co21mm
10,Metal Gear Solid,1998-09-03,375,6,237,co55sj
11,Halo: Combat Evolved,2001-11-15,740,5,153,co2r2r
12,Super Mario Bros. 3,1988-10-23,1068,4,507,co6bpy
13,Grand Theft Auto V,2013-09-17,1020,3,323,co2lbd
14,Portal,2007-10-10,71,2,508,co1x7d
15,Call of Duty 4: Modern Warfare,2007-11-05,623,1,499,co1wko
