Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Ocarina of Time,1998-11-21,1029,15,27,co3nnx
2,Grand Theft Auto IV,2008-04-29,731,14,337,co2lbv
3,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,13,23,co3p2d
4,Super Mario Odyssey,2017-10-27,26758,12,90,co1mxf
5,Super Mario Galaxy 2,2010-05-23,1078,11,430,co21tl
6,Halo: Combat Evolved,2001-11-15,740,10,153,co2r2r
7,Grand Theft Auto V,2013-09-17,1020,9,323,co2lbd
8,Red Dead Redemption,2010-05-18,434,8,322,co2lcv
9,Red Dead Redemption 2,2018-10-26,25076,7,352,co1q1f
10,Resident Evil 4,2005-01-11,974,6,426,co2wk8
11,Super Mario 64,1996-06-23,1074,5,30,co21mm
12,The Last of Us,2013-06-14,1009,4,320,co1r7f
13,BioShock,2007-08-21,20,3,391,co2mli
14,Half-Life 2,2004-11-16,233,2,160,co1nmw
15,Portal 2,2011-04-18,72,1,325,co1rs4
