Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Ocarina of Time,1998-11-21,1029,15,27,co3nnx
2,Tony Hawk's Pro Skater 2,2000-09-20,913,14,249,co1y77
3,Grand Theft Auto IV,2008-04-29,731,13,337,co2lbv
4,SoulCalibur,1998-07-30,1564,12,428,co1x6g
5,Super Mario Galaxy,2007-11-01,1077,11,429,co21ro
6,Super Mario Galaxy 2,2010-05-23,1078,10,430,co21tl
7,Red Dead Redemption 2,2018-10-26,25076,9,352,co1q1f
8,Grand Theft Auto V,2013-09-17,1020,8,323,co2lbd
9,Disco Elysium: The Final Cut,2021-03-30,141540,7,431,co2ve1
10,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,6,23,co3p2d
11,Tony Hawk's Pro Skater 3,2001-10-28,914,5,432,co2nj3
12,Perfect Dark,2000-05-22,1463,4,169,co25jr
13,Metroid Prime,2002-11-17,1105,3,427,co3w4w
14,Grand Theft Auto III,2001-10-22,730,2,433,co2lb8
15,Super Mario Odyssey,2017-10-27,26758,1,90,co1mxf
