Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Last of Us Part II,2020-06-19,26192,15,11,co5ziw
2,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,14,23,co3p2d
3,Super Mario World,1990-11-21,1070,13,371,co65za
4,Tetris,1984-12-31,180279,12,421,co4vot
5,Minecraft,2011-11-18,121,11,201,co49x5
6,Pokémon FireRed,2004-01-29,1559,10,422,co1ziq
7,Wii Sports,2006-11-19,2181,9,423,co3vge
8,The Last of Us,2013-06-14,1009,8,320,co1r7f
9,Pac-Man,1980-05-22,2750,7,424,co4ulc
10,Halo: Combat Evolved,2001-11-15,740,6,153,co2r2r
11,Street Fighter II,1991-02-01,3186,5,425,co55et
12,Grand Theft Auto V,2013-09-17,1020,4,323,co2lbd
13,Resident Evil 4,2005-01-11,974,3,426,co2wk8
14,Metal Gear Solid 2: Sons of Liberty,2001-11-13,376,2,309,co5e1c
15,Metroid Prime,2002-11-17,1105,1,427,co3w4w
