Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Ocarina of Time,1998-11-21,1029,15,27,co3nnx
2,The Last of Us,2013-06-14,1009,14,320,co1r7f
3,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,13,23,co3p2d
4,Grand Theft Auto V,2013-09-17,1020,12,323,co2lbd
5,The Witcher 3: Wild Hunt,2015-05-19,1942,11,347,co1wyy
6,Half-Life 2,2004-11-16,233,10,160,co1nmw
7,The Elder Scrolls V: Skyrim,2011-11-10,472,9,392,co1tnw
8,Chrono Trigger,1995-03-11,1802,8,519,co3plw
9,Super Mario 64,1996-06-23,1074,7,30,co21mm
10,Portal 2,2011-04-18,72,6,325,co1rs4
11,Resident Evil 4,2005-01-11,974,5,426,co2wk8
12,Super Mario World,1990-11-21,1070,4,371,co65za
13,The Legend of Zelda: A Link to the Past,1991-11-21,1026,3,372,co3vzn
14,Final Fantasy VII,1997-01-31,427,2,247,co2kx2
15,Mass Effect 2,2010-01-26,74,1,334,co20ac
