Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Super Mario 64,1996-06-23,1074,15,30,co21mm
2,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,14,23,co3p2d
3,The Last of Us,2013-06-14,1009,13,320,co1r7f
4,Portal 2,2011-04-18,72,12,325,co1rs4
5,Super Metroid,1994-03-19,1103,11,373,co5osy
6,Sonic the Hedgehog 2,1992-11-21,4438,10,518,co5kkj
7,Final Fantasy VII,1997-01-31,427,9,247,co2kx2
8,Chrono Trigger,1995-03-11,1802,8,519,co3plw
9,Pokémon FireRed,2004-01-29,1559,7,422,co1ziq
10,Shadow of the Colossus,2005-10-18,2207,6,306,co1ozz
11,Minecraft,2011-11-18,121,5,201,co49x5
12,Red Dead Redemption 2,2018-10-26,25076,4,352,co1q1f
13,Street Fighter II,1991-02-01,3186,3,425,co55et
14,Castlevania: Symphony of the Night,1997-03-20,1128,2,238,co53m8
15,Dark Souls,2011-09-22,2155,1,26,co1x78
