Position,Title,TotalScore,ListsAppeared
1,Psycho Fox (1989),25,2
2,Asterix (1988),19,2
3,Alex Kidd in Miracle World (1986),19,2
4,Land of Illusion Starring Mickey Mouse (1993),18,2
5,Golden Axe Warrior (1991),17,2
6,Road Rash (1991),16,2
7,Phantasy Star (1987),15,1
8,Sonic the Hedgehog (1991),14,1
9,Sonic the Hedgehog 2 (1992),14,1
10,Fantasy Zone II: The Tears of Opa-Opa (2008),13,1
11,The Lucky Dime Caper Starring Donald Duck (1991),12,1
12,Kenseiden (1988),11,1
13,Prince of Persia (1990),8,1
14,Sonic the Hedgehog Chaos (1993),8,1
15,Operation Wolf (1987),6,1
16,Space Harrier 3-D (1988),5,1
17,Do! Run Run (1984),4,1
18,The Lucky Dime Caper starring Donald Duck (1991),4,1
19,Shinobi (1990),3,1
20,Master of Darkness (1992),3,1
21,R-Type I (1988),2,1
22,After Burner (1987),2,1
23,Alien Syndrome (1987),1,1
24,Golvellius: Valley of Doom (1987),1,1
