Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Psycho Fox,1989-08-01,46131,15,937,co3k59
2,Sonic the Hedgehog 2,1992-10-16,112884,14,846,co1zus
3,Fantasy Zone II: The Tears of Opa-Opa,2008-09-11,202907,13,938,co4sot
4,Golden Axe Warrior,1991-07-01,46147,12,939,co2b8f
5,Kenseiden,1988-06-02,65579,11,940,zq6aqhmduwzco7s7btih
6,Alex Kidd in Miracle World,1986-11-01,26778,10,930,co20fm
7,Road Rash,1991-09-30,3249,9,941,co5p41
8,Sonic the Hedgehog Chaos,1993-10-25,43322,8,943,co3kly
9,Land of Illusion Starring Mickey Mouse,1993-12-31,8123,7,944,co4zmt
10,Asterix,1993-12-31,7757,6,945,co20g5
11,Space Harrier 3-D,1988-02-29,46126,5,946,hmtfmzeerazd8x78dg5i
12,The Lucky Dime Caper starring Donald Duck,1991-12-20,12910,4,947,co4kh5
13,Master of Darkness,1992-10-23,8039,3,948,co6aed
14,After Burner,1987-02-01,45347,2,949,co4rg3
15,Golvellius: Valley of Doom,1987-12-31,46146,1,950,co2b8g
