Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Asgard’s Wrath II,2023-12-15,251569,15,2108,co7kft
2,Beat Saber,2019-05-21,83731,14,33,co20ux
3,Tetris Effect,2018-11-09,103221,13,83,co2kfy
4,The Under Presents,2019-11-19,132208,12,2132,co2poz
5,Arizona Sunshine II,2023-12-07,250628,11,2126,co6jbo
6,Journey of the Gods,2019-05-21,121937,10,1879,co1pji
7,Breachers,2023-04-13,227642,9,2133,co6een
8,Myst,2012-10-26,86227,8,2135,co2izw
9,Population: One,2020-10-22,139377,7,141,co2hxt
10,In Death Unchained,2020-07-23,135118,6,1889,co2a9h
11,Audica,2019-03-07,115285,5,2136,co1ws3
12,I Expect You to Die,2016-11-30,25948,4,79,co2qe1
13,Little Cities,2022-05-12,201654,3,420,co4rg2
14,Pistol Whip,2019-11-07,119341,2,67,co1swl
15,Mare,2021-01-07,25933,1,2137,co2t0w
