Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Pitfall!,1982-04-20,5411,15,809,co1pgb
2,Missile Command,1980-07-01,12313,14,2339,co3gau
3,Super Breakout,1978-09-21,12321,13,2338,co671n
4,Adventure,1983-12-31,12239,12,2329,qzcqrjruhpuge5egkzgj
5,Combat,1977-09-11,16759,11,910,pxutukwqpci8mfusrjcx
6,Space Invaders,1982-12-31,200393,10,2341,co4q7r
7,Dig Dug,1982-11-01,218880,9,905,co5dj7
8,Pole Position,1982-09-16,5691,8,908,co2xew
9,Frogger,1982-12-31,218768,7,920,co5cd5
10,Warlords,1980-12-31,17251,6,2342,co671u
11,Pong,1972-11-29,1333,5,234,co2erg
12,Q*bert,1982-10-18,1980,4,902,co2pp4
13,Ms. Pac-Man,1983-12-31,277557,3,2343,co7l8o
14,Centipede,1982-12-31,289407,2,2344,co7uel
15,Yars' Revenge,1982-05-01,9757,1,928,co3231
