Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Pitfall!,1982-04-20,5411,15,809,co1pgb
2,Donkey Kong,1982-07-01,152066,14,898,co4hs3
3,Ms. Pac-Man,1982-01-13,7452,13,511,co53rj
4,Space Invaders,1978-06-01,3601,12,899,co25xd
5,Mario Bros.,1983-03-14,131939,11,900,co21iq
6,Jungle Hunt,1982-07-01,18228,10,901,co6eq2
7,Q*bert,1982-10-18,1980,9,902,co2pp4
8,Frogger,1982-12-31,218592,8,903,co5bse
9,River Raid,1982-12-31,5693,7,904,co6ilj
10,Dig Dug,1982-11-01,218880,6,905,co5dj7
11,Haunted House,1982-02-01,4909,5,906,co3230
12,Crystal Castles,1984-03-01,172792,4,907,co3wvs
13,Pole Position,1982-09-16,5691,3,908,co2xew
14,Asteroids,1981-12-31,172788,2,909,co3wvq
15,Combat,1977-09-11,16759,1,910,pxutukwqpci8mfusrjcx
