Position,Title,TotalScore,ListsAppeared
1,Skies of Arcadia (2000),28,2
2,Jet Grind Radio (2000),19,2
3,Marvel vs. Capcom 2: New Age of Heroes (2000),18,2
4,Sonic Adventure 2 (2001),18,2
5,Power Stone 2 (2000),17,2
6,Rez (2001),17,2
7,SoulCalibur (1998),16,2
8,Sonic Adventure (1998),15,1
9,Legacy of Kain: Soul Reaver (1999),13,1
10,Garou: Mark of the Wolves (1999),12,1
11,Ikaruga (2001),11,1
12,Phantasy Star Online (2000),10,2
13,Quake III Arena (1999),10,1
14,Grandia II (2000),7,1
15,The Typing of the Dead (1999),6,1
16,Shenmue (1999),5,1
17,Blue Stinger (1999),3,1
