Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Link's Awakening,1993-06-06,1028,15,385,co3nnt
2,Tetris,1989-05-14,86490,14,1592,co2ufl
3,Donkey Kong,1994-06-14,1089,13,1593,co1wd9
4,Wario Land: Super Mario Land 3,1994-01-21,1072,12,1594,co216h
5,Pokémon Yellow Version: Special Pikachu Edition,1998-09-12,1512,11,1496,co5pih
6,Pokémon Red Version,1996-02-27,1561,10,513,co5pi4
7,Wario Land II,1998-03-09,1697,9,1595,co4qfz
8,Super Mario Land 2: 6 Golden Coins,1992-10-21,1071,8,1596,co434w
9,Final Fantasy Adventure,1991-06-28,407,7,1597,co1vpk
10,Castlevania II: Belmont's Revenge,1991-07-12,1123,6,1598,co1tg9
11,Mario's Picross,1995-03-14,71976,5,1599,co2tau
12,Disney's DuckTales,1989-09-14,6487,4,677,co3wks
13,Donkey Kong Land 2,1996-11-23,1093,3,1600,co2ww1
14,Kirby's Dream Land 2,1995-03-21,3718,2,1601,co26fi
15,Disney's DuckTales 2,1993-04-23,6488,1,1602,co6sm3
