Position,Title,TotalScore,ListsAppeared
1,Metroid Fusion (2002),64,5
2,The Legend of Zelda: The Minish Cap (2004),58,5
3,Mario & Luigi: Superstar Saga (2003),52,6
4,Castlevania: Aria of Sorrow (2003),46,5
5,Advance Wars (2001),43,4
6,Pokémon Box: Ruby & Sapphire (2003),38,4
7,Mario Kart: Super Circuit (2001),38,4
8,"WarioWare, Inc.: Mega Microgames! (2003)",35,5
9,Yoshi's Island: Super Mario Advance 3 (2002),31,4
10,Fire Emblem: The Blazing Blade (2003),30,5
11,Metroid: Zero Mission (2004),25,3
12,The Legend of Zelda: A Link to the Past & Four Swords (2002),25,2
13,Final Fantasy VI Advance (2006),21,2
14,Golden Sun (2001),18,2
15,Pokémon Emerald Version (2004),18,2
16,Final Fantasy Tactics Advance (2003),18,4
17,Tony Hawk's Pro Skater 2 (2001),17,4
18,Super Mario Advance 4: Super Mario Bros. 3 (2003),16,2
19,WarioWare: Twisted! (2004),15,1
20,Mother 3 (2006),14,1
21,Super Mario World: Super Mario Advance 2 (2001),13,2
22,Golden Sun: The Lost Age (2002),12,2
23,Super Mario Advance (2001),12,1
24,Mega Man Battle Network 2 (2001),11,1
25,Mario Golf: Advance Tour (2004),10,1
26,Astro Boy: Omega Factor (2003),9,1
27,Harvest Moon: Friends of Mineral Town (2003),5,1
28,Kirby & the Amazing Mirror (2004),4,2
29,Ultimate Card Games (2004),3,1
30,Mario vs. Donkey Kong (2004),2,1
31,Mario Tennis: Power Tour (2005),1,1
32,Wario Land 4 (2001),1,1
