Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Metroid Fusion,2002-11-17,1104,15,1694,co3w49
2,Fire Emblem: The Blazing Blade,2003-04-25,1439,14,1695,co1p7c
3,Pokémon Box: Ruby & Sapphire,2003-05-30,93046,13,1634,co2sh1
4,Golden Sun,2001-08-01,1172,12,1585,co1uca
5,Mega Man Battle Network 2,2001-12-14,1756,11,1696,co203p
6,Mario & Luigi: Superstar Saga,2003-11-17,3351,10,1636,co21rg
7,WarioWare, Inc.: Mega Microgames!,2003-03-21,1703,9,1416,co1wpz
8,Advance Wars,2001-09-10,1691,8,1629,co25mi
9,Mario Kart: Super Circuit,2001-07-21,2343,7,1697,co214v
10,The Legend of Zelda: The Minish Cap,2004-11-04,1035,6,1113,co3nsk
