Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Mario Kart: Super Circuit,2001-07-21,2343,15,1697,co214v
2,The Legend of Zelda: The Minish Cap,2004-11-04,1035,14,1113,co3nsk
3,Pokémon Box: Ruby & Sapphire,2003-05-30,93046,13,1634,co2sh1
4,Super Mario Advance,2001-03-21,81197,12,1703,co21r7
5,Metroid Fusion,2002-11-17,1104,11,1694,co3w49
6,Mario & Luigi: Superstar Saga,2003-11-17,3351,10,1636,co21rg
7,Yoshi's Island: Super Mario Advance 3,2002-09-24,16747,9,1631,co4ac4
8,Castlevania: Aria of Sorrow,2003-05-06,1134,8,1417,co1nh5
9,Final Fantasy Tactics Advance,2003-02-14,414,7,1638,co1wyp
10,Golden Sun,2001-08-01,1172,6,1585,co1uca
11,WarioWare, Inc.: Mega Microgames!,2003-03-21,1703,5,1416,co1wpz
12,Tony Hawk's Pro Skater 2,2001-08-21,229927,4,1429,co5xvy
13,Fire Emblem: The Blazing Blade,2003-04-25,1439,3,1695,co1p7c
14,Kirby & the Amazing Mirror,2004-04-15,3721,2,1704,co1w9u
15,Wario Land 4,2001-08-21,1699,1,1705,co1wpx
