Position,Title,TotalScore,ListsAppeared
1,The Legend of Zelda: The Wind Waker (2002),153,11
2,Metroid Prime (2002),140,11
3,Resident Evil 4 (2005),118,10
4,Super Smash Bros. Melee (2001),115,11
5,The Legend of Zelda: Twilight Princess (2006),81,8
6,Paper Mario: The Thousand-Year Door (2004),68,8
7,Mario Kart: Double Dash!! (2003),60,7
8,Animal Crossing (2001),57,7
9,Super Mario Sunshine (2002),55,8
10,Pikmin 2 (2004),44,8
11,F-Zero GX (2003),41,7
12,SoulCalibur II (2002),40,7
13,Eternal Darkness: Sanity's Requiem (2002),39,6
14,Prince of Persia: The Sands of Time (2003),25,4
15,Star Wars: Rogue Squadron II - Rogue Leader (2001),24,4
16,Viewtiful Joe (2003),22,5
17,Luigi's Mansion (2001),21,2
18,Fire Emblem: Path of Radiance (2005),20,5
19,Pikmin (2001),16,3
20,Resident Evil (2002),13,3
21,Star Wars: Bounty Hunter (2002),13,1
22,Metal Gear Solid: The Twin Snakes (2004),11,2
23,The Legend of Zelda: Collector's Edition (2003),11,1
24,The Legend of Zelda: Ocarina of Time (1998),11,1
25,TimeSplitters 2 (2002),11,1
26,Madden NFL 2004 (2003),10,1
27,Star Fox Adventures (2002),10,1
28,Star Fox: Assault (2005),10,1
29,The Legend of Zelda: Ocarina of Time - Master Quest (2002),9,1
30,Metroid Prime 2: Echoes (2004),7,1
31,Chibi-Robo! (2005),7,1
32,NFL 2K3 (2002),7,1
33,SSX 3 (2003),7,2
34,Mario Party 4 (2002),7,1
35,Madden NFL 2003 (2002),4,1
36,Skies of Arcadia Legends (2002),4,1
37,Killer7 (2005),3,1
38,Ikaruga (2001),3,1
39,Kirby Air Ride (2003),3,1
40,Beyond Good & Evil (2003),2,2
41,Super Monkey Ball (2001),2,1
42,Sonic Adventure 2: Battle (2001),1,1
