Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Metroid Prime,2002-11-17,1105,15,427,co3w4w
2,The Legend of Zelda: The Wind Waker,2002-12-13,1033,14,532,co3ohz
3,Resident Evil 4,2005-01-11,974,13,426,co2wk8
4,Super Smash Bros. Melee,2001-11-21,1627,12,533,co21yv
5,Animal Crossing,2001-12-14,2655,11,541,co3wmn
6,Pikmin,2001-10-26,2239,10,1359,co2eph
7,Super Mario Sunshine,2002-07-19,1075,9,1094,co21rh
8,F-Zero GX,2003-07-25,3492,8,540,co525x
9,Metroid Prime 2: Echoes,2004-11-15,1108,7,1108,co1w7n
10,SoulCalibur II,2002-07-10,1565,6,1357,co62a6
11,Viewtiful Joe,2003-06-26,4229,5,1358,co53ji
12,Eternal Darkness: Sanity's Requiem,2002-06-23,3907,4,536,co1sa8
13,Resident Evil,2002-03-22,24869,3,1356,co2vz8
14,Pikmin 2,2004-04-29,2240,2,537,co5y6q
15,Mario Kart: Double Dash!!,2003-11-07,2344,1,1355,co21yz
