Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Metroid Prime,2002-11-17,1105,15,427,co3w4w
2,Resident Evil 4,2005-01-11,974,14,426,co2wk8
3,The Legend of Zelda: Twilight Princess,2006-11-19,1036,13,535,co3mtv
4,The Legend of Zelda: The Wind Waker,2002-12-13,1033,12,532,co3ohz
5,The Legend of Zelda: Collector's Edition,2003-11-07,45139,11,1742,co4n26
6,Madden NFL 2004,2003-08-11,777,10,1743,co30uu
7,SoulCalibur II,2002-07-10,1565,9,1357,co62a6
8,Viewtiful Joe,2003-06-26,4229,8,1358,co53ji
9,NFL 2K3,2002-08-12,8846,7,1744,g5otoefmvfvrgwjdwevi
10,Eternal Darkness: Sanity's Requiem,2002-06-23,3907,6,536,co1sa8
11,SSX 3,2003-10-20,4174,5,1737,co1o4m
12,Madden NFL 2003,2002-02-18,243290,4,1745,co6bhm
13,Super Smash Bros. Melee,2001-11-21,1627,3,533,co21yv
14,Super Mario Sunshine,2002-07-19,1075,2,1094,co21rh
15,Prince of Persia: The Sands of Time,2003-10-28,142650,1,1107,co3ia6
