Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Super Smash Bros. Melee,2001-11-21,1627,15,533,co21yv
2,The Legend of Zelda: The Wind Waker,2002-12-13,1033,14,532,co3ohz
3,Mario Kart: Double Dash!!,2003-11-07,2344,13,1355,co21yz
4,Luigi's Mansion,2001-09-14,2485,12,1428,co1wr1
5,Paper Mario: The Thousand-Year Door,2004-07-22,3349,11,531,co25us
6,Star Fox: Assault,2005-02-14,3243,10,1740,co1pem
7,Super Mario Sunshine,2002-07-19,1075,9,1094,co21rh
8,Metroid Prime,2002-11-17,1105,8,427,co3w4w
9,F-Zero GX,2003-07-25,3492,7,540,co525x
10,Animal Crossing,2001-12-14,2655,6,541,co3wmn
11,Resident Evil 4,2005-01-11,974,5,426,co2wk8
12,Pikmin 2,2004-04-29,2240,4,537,co5y6q
13,Kirby Air Ride,2003-08-11,2777,3,1741,co6nwh
14,SoulCalibur II,2002-07-10,1565,2,1357,co62a6
15,Fire Emblem: Path of Radiance,2005-04-20,1441,1,538,co1ofh
