Position,Title,TotalScore,ListsAppeared
1,Sonic the Hedgehog 2 (1992),26,2
2,Shinobi III: Return of the Ninja Master (1993),18,2
3,Streets of Rage 2 (1992),17,2
4,Sonic the Hedgehog 3 & Knuckles (1994),15,1
5,Phantasy Star IV: The End of the Millennium (1993),14,1
6,Rocket Knight Adventures (1993),14,1
7,Gunstar Heroes (1993),13,1
8,Combat Cars (1994),13,1
9,Monster World IV (1994),12,1
10,James Pond 2: Codename - RoboCod (1991),12,1
11,QuackShot: Starring Donald Duck (1991),11,1
12,Beyond Oasis (1994),9,1
13,Comix Zone (1995),9,1
14,Castlevania: Bloodlines (1994),8,1
15,ToeJam & Earl (1991),7,2
16,WWF Raw (1994),7,1
17,Probotector (1990),6,1
18,Contra: Hard Corps (1994),5,1
19,Taz in Escape From Mars (1994),5,1
20,Mortal Kombat II (1993),4,1
21,Mega Bomberman (1994),4,1
22,NHL '94 (1993),3,1
23,Sonic the Hedgehog 3 (1994),3,1
24,Dr. Robotnik's Mean Bean Machine (1993),2,1
25,Earthworm Jim 2 (1995),2,1
26,Vectorman (1995),1,1
