Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Sonic the Hedgehog 3 & Knuckles,1994-10-18,11219,15,2309,co7c0w
2,Phantasy Star IV: The End of the Millennium,1993-12-17,1230,14,2310,co2g92
3,Gunstar Heroes,1993-09-09,6405,13,2311,co3wad
4,Monster World IV,1994-04-01,18282,12,2312,co2xzh
5,Sonic the Hedgehog 2,1992-10-16,112884,11,846,co1zus
6,Shinobi III: Return of the Ninja Master,1993-07-22,2623,10,853,co3vnc
7,Beyond Oasis,1994-12-01,15299,9,2313,co25nd
8,Castlevania: Bloodlines,1994-03-17,1127,8,2314,co55x8
9,Streets of Rage 2,1992-12-20,1653,7,851,co49sn
10,ToeJam & Earl,1991-03-12,8389,6,860,co2rpb
11,Contra: Hard Corps,1994-08-08,20192,5,2315,co2n11
12,Mortal Kombat II,1993-11-01,1619,4,836,co6bxu
13,NHL '94,1993-10-01,5405,3,2316,co2gvn
14,Dr. Robotnik's Mean Bean Machine,1993-11-26,4499,2,2317,co2v8c
15,Vectorman,1995-10-24,16033,1,1269,co3s8c
