Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Resident Evil 4 VR,2021-10-21,172560,15,46,co3zab
2,Pistol Whip,2019-11-07,119341,14,67,co1swl
3,Beat Saber,2019-05-21,83731,13,33,co20ux
4,The Walking Dead: Saints & Sinners,2020-01-23,105416,12,50,co1tgc
5,Resist,2021-11-11,185812,11,1888,co5dyi
6,Population: One,2020-10-22,139377,10,141,co2hxt
7,Walkabout Mini Golf,2020-09-24,142095,9,53,co2nf4
8,In Death Unchained,2020-07-23,135118,8,1889,co2a9h
9,Real VR Fishing,2019-09-12,130566,7,1890,co4ul1
10,Lucky's Tale,2016-03-28,9617,6,1891,co3wfa
