Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Resident Evil 4 VR,2021-10-21,172560,15,46,co3zab
2,Gorilla Tag,2021-02-12,143228,14,114,co2s6v
3,Warplanes: Battles over Pacific,2022-08-11,195395,13,1882,co5hqp
4,Eleven: Table Tennis VR,2016-09-22,32889,12,61,co4ooo
5,Five Nights at Freddy's: Help Wanted,2019-05-28,115304,11,1883,co62bd
6,What the Bat?,2022-11-17,204348,10,1884,co4uoo
7,Job Simulator: The 2050 Archives,2016-04-05,12596,9,781,co2qgk
8,The Thrill of the Fight,2019-10-24,174558,8,1877,co63lk
9,ForeVR Bowl,2021-05-27,148381,7,1885,co3wki
10,Walkabout Mini Golf,2020-09-24,142095,6,53,co2nf4
