Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Ocarina of Time,1998-11-21,1029,15,27,co3nnx
2,Super Mario 64,1996-06-23,1074,14,30,co21mm
3,007 GoldenEye,1995-12-31,217634,13,227,co59yk
4,Star Fox 64,1997-04-27,2591,12,170,co2e4k
5,Paper Mario,2000-08-11,3340,11,171,co1qda
6,Super Smash Bros.,1999-01-21,1626,10,226,co2tso
7,Mario Kart 64,1996-12-14,2342,9,230,co67hm
8,Banjo-Kazooie,1998-06-29,2148,8,168,co1zsj
9,International Superstar Soccer '98,1998-06-04,3514,7,231,co4snd
10,Doom 64,1997-04-04,3471,6,232,co2gro
11,F-Zero X,1998-07-14,3489,5,178,co53i2
12,Perfect Dark,2000-08-01,1464,4,218,co4ui8
13,Pilotwings 64,1996-06-23,3573,3,233,co5iq6
14,Conker's Bad Fur Day,2001-03-05,1286,2,220,co1uq6
15,Blast Corps,1997-03-21,3424,1,224,co2896
