Position,Title,TotalScore,ListsAppeared
1,Mario Kart DS (2005),122,10
2,Pokémon HeartGold Version (2009),102,9
3,The World Ends with You (2007),99,11
4,New Super Mario Bros. (2006),97,8
5,The Legend of Zelda: Phantom Hourglass (2007),92,8
6,Grand Theft Auto: Chinatown Wars (2009),86,8
7,Castlevania: Dawn of Sorrow (2005),74,9
8,Mario & Luigi: Bowser's Inside Story (2009),71,8
9,Advance Wars: Dual Strike (2005),67,8
10,Chrono Trigger (2008),64,6
11,Super Mario 64 DS (2004),46,4
12,Phoenix Wright: Ace Attorney (2005),40,5
13,"Zero Escape: Nine Hours, Nine Persons, Nine Doors (2009)",35,4
14,Mario & Luigi: Partners in Time (2005),34,4
15,Animal Crossing: Wild World (2005),30,5
16,Elite Beat Agents (2006),29,5
17,Professor Layton and the Unwound Future (2008),28,4
18,Pokémon Black Version (2010),28,4
19,The Legend of Zelda: Spirit Tracks (2009),26,4
20,Pokémon Platinum Version (2008),23,3
21,Professor Layton and the Curious Village (2007),17,4
22,Dragon Quest IX: Sentinels of the Starry Skies (2009),17,2
23,Phoenix Wright: Ace Attorney - Trials and Tribulations (2006),17,2
24,Tetris DS (2006),16,2
25,Pokémon Diamond Version (2006),16,2
26,Kirby Super Star Ultra (2008),16,2
27,Flipnote Studio (2008),14,1
28,Meteos (2005),13,2
29,Nintendogs: Labrador & Friends (2005),13,3
30,Osu! Tatakae! Ouendan (2005),13,1
31,Kirby: Canvas Curse (2005),12,3
32,Dragon Quest V: Hand of the Heavenly Bride (2008),12,2
33,Picross 3D (2009),12,1
34,Nintendogs: Best Friends (2005),11,1
35,Solatorobo: Red the Hunter (2010),11,1
36,Professor Layton and the Last Specter (2009),10,1
37,Hotel Dusk: Room 215 (2007),9,1
38,Bangai-O Spirits (2008),9,1
39,Pokémon Mystery Dungeon: Explorers of Sky (2009),9,1
40,WarioWare: Touched! (2004),8,2
41,Ghost Trick: Phantom Detective (2010),8,1
42,Castlevania: Order of Ecclesia (2008),8,2
43,Metroid Prime Hunters (2006),8,1
44,Kirby Mass Attack (2011),7,1
45,Trauma Center: Under the Knife (2005),6,1
46,Pokémon Conquest (2012),6,2
47,Shin Megami Tensei: Strange Journey (2009),6,1
48,Pokémon Black Version 2 (2012),5,1
49,Puzzle Quest: Challenge of the Warlords (2007),5,1
50,Pokémon White Version (2010),4,1
51,Shin Megami Tensei: Devil Survivor (2009),3,1
52,Super Princess Peach (2005),3,1
53,"Flower, Sun, and Rain (2001)",2,1
54,Henry Hatsworth in the Puzzling Adventure (2009),2,1
55,Pokémon SoulSilver Version (2009),2,1
56,Final Fantasy Tactics A2: Grimoire of the Rift (2007),2,1
57,Dementium: The Ward (2007),1,1
58,Radiant Historia (2010),1,1
59,WarioWare D.I.Y. (2009),1,1
60,Fire Emblem: Shadow Dragon (2008),1,1
61,Contra 4 (2007),1,1
