Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Castlevania: Dawn of Sorrow,2005-08-25,1136,15,1608,co3dc0
2,New Super Mario Bros.,2006-05-15,1076,14,1134,co21rm
3,Grand Theft Auto: Chinatown Wars,2009-03-17,3270,13,435,co2lba
4,Pokémon HeartGold Version,2009-09-12,1556,12,510,co1z57
5,Mario & Luigi: Bowser's Inside Story,2009-09-14,3363,11,1605,co21vr
6,Mario Kart DS,2005-11-14,2345,10,1120,co214h
7,Advance Wars: Dual Strike,2005-06-23,1693,9,1604,co4otn
8,Chrono Trigger,2008-11-20,20398,8,1613,co54iw
9,Phoenix Wright: Ace Attorney,2005-01-01,221282,7,1611,co5w3h
10,Professor Layton and the Curious Village,2007-02-15,1397,6,1155,co1wtd
11,The World Ends with You,2007-07-26,1343,5,1657,co1n67
12,WarioWare: Touched!,2004-12-02,1705,4,1673,co4b7s
13,Kirby: Canvas Curse,2005-03-24,3722,3,1610,co1qov
14,The Legend of Zelda: Spirit Tracks,2009-12-07,1038,2,1671,co3oj6
15,Radiant Historia,2010-11-03,6516,1,1675,co1o7i
