Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Zero Escape: Nine Hours, Nine Persons, Nine Doors,2009-12-10,9543,15,1668,co4hsz
2,Dragon Quest IX: Sentinels of the Starry Skies,2009-07-11,1820,14,2346,co7wt9
3,Tetris DS,2006-03-20,18599,13,1612,co2cnp
4,The World Ends with You,2007-07-26,1343,12,1657,co1n67
5,Grand Theft Auto: Chinatown Wars,2009-03-17,3270,11,435,co2lba
6,Elite Beat Agents,2006-11-06,9109,10,1658,co2dyd
7,Professor Layton and the Unwound Future,2008-11-27,1399,9,1609,co1wtg
8,Castlevania: Dawn of Sorrow,2005-08-25,1136,8,1608,co3dc0
9,Meteos,2005-03-10,1165,7,2347,co2qop
10,Nintendogs: Labrador & Friends,2005-05-21,47944,6,1674,co2xw2
11,Pokémon HeartGold Version,2009-09-12,1556,5,510,co1z57
12,Phoenix Wright: Ace Attorney - Trials and Tribulations,2006-03-31,1428,4,1662,co5z8u
13,Shin Megami Tensei: Devil Survivor,2009-01-15,6884,3,2348,co26ib
14,Henry Hatsworth in the Puzzling Adventure,2009-03-17,9601,2,2349,co263c
15,WarioWare D.I.Y.,2009-04-29,1708,1,2350,co6k9x
