Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Pokémon HeartGold Version,2009-09-12,1556,15,510,co1z57
2,Chrono Trigger,2008-11-20,20398,14,1613,co54iw
3,Phoenix Wright: Ace Attorney - Trials and Tribulations,2006-03-31,1428,13,1662,co5z8u
4,Pokémon Platinum Version,2008-09-13,1519,12,1663,co1zhu
5,Kirby Super Star Ultra,2008-09-22,2647,11,1664,co3g9j
6,The World Ends with You,2007-07-26,1343,10,1657,co1n67
7,Pokémon Mystery Dungeon: Explorers of Sky,2009-04-18,2323,9,1665,co1yz7
8,Dragon Quest V: Hand of the Heavenly Bride,2008-07-17,16585,8,1666,co69d7
9,Professor Layton and the Unwound Future,2008-11-27,1399,7,1609,co1wtg
10,Phoenix Wright: Ace Attorney,2005-01-01,221282,6,1611,co5w3h
11,Pokémon Black Version 2,2012-06-23,8284,5,1667,co1z8d
12,Castlevania: Dawn of Sorrow,2005-08-25,1136,4,1608,co3dc0
13,Castlevania: Order of Ecclesia,2008-10-21,1141,3,1659,co1nha
14,Zero Escape: Nine Hours, Nine Persons, Nine Doors,2009-12-10,9543,2,1668,co4hsz
15,Mario & Luigi: Bowser's Inside Story,2009-09-14,3363,1,1605,co21vr
