Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The World Ends with You,2007-07-26,1343,15,1657,co1n67
2,Pokémon HeartGold Version,2009-09-12,1556,14,510,co1z57
3,The Legend of Zelda: Phantom Hourglass,2007-06-23,1037,13,1142,co3ocu
4,Picross 3D,2009-03-03,10631,12,2524,co2dzy
5,Zero Escape: Nine Hours, Nine Persons, Nine Doors,2009-12-10,9543,11,1668,co4hsz
6,Advance Wars: Dual Strike,2005-06-23,1693,10,1604,co4otn
7,Phoenix Wright: Ace Attorney,2005-01-01,221282,9,1611,co5w3h
8,Animal Crossing: Wild World,2005-11-23,2645,8,1118,co3wms
9,Kirby Mass Attack,2011-08-04,3724,7,2525,co7pm7
10,Shin Megami Tensei: Strange Journey,2009-10-08,15467,6,2526,co26fw
11,Puzzle Quest: Challenge of the Warlords,2007-03-16,2370,5,2527,co3bkp
12,Dragon Quest V: Hand of the Heavenly Bride,2008-07-17,16585,4,1666,co69d7
13,Mario Kart DS,2005-11-14,2345,3,1120,co214h
14,Final Fantasy Tactics A2: Grimoire of the Rift,2007-10-25,2408,2,2528,co26f5
15,Contra 4,2007-11-13,9545,1,2529,co2guv
