Position,Title,TotalScore,ListsAppeared
1,Super Mario Odyssey (2017),282,24
2,The Legend of Zelda: Tears of the Kingdom (2023),266,20
3,The Legend of Zelda: Breath of the Wild (2017),266,20
4,Mario Kart 8 Deluxe (2017),190,19
5,Animal Crossing: New Horizons (2020),178,18
6,Super Smash Bros. Ultimate (2018),165,17
7,Metroid Dread (2021),164,18
8,Hades (2019),147,17
9,Metroid Prime Remastered (2023),126,13
10,Xenoblade Chronicles 3 (2022),99,12
11,Pokémon Legends: Arceus (2022),93,10
12,Fire Emblem: Three Houses (2019),88,12
13,Splatoon 3 (2022),68,8
14,Luigi's Mansion 3 (2019),62,9
15,Hollow Knight (2017),61,9
16,Kirby and the Forgotten Land (2022),48,8
17,Persona 5 Royal (2019),46,6
18,Monster Hunter Rise (2021),42,9
19,Stardew Valley (2016),34,5
20,Ori and the Will of the Wisps (2020),34,4
21,Bowser's Fury (2021),32,5
22,Tetris Effect: Connected (2020),32,4
23,Mario + Rabbids Sparks of Hope (2022),30,4
24,The Legend of Zelda: Link's Awakening (2019),29,4
25,Dragon Quest XI: Echoes of an Elusive Age (2017),25,3
26,Into the Breach (2018),23,3
27,Bayonetta 3 (2022),22,4
28,Live A Live (2022),21,3
29,Portal: Companion Collection (2022),21,2
30,Celeste (2018),21,4
31,Pokémon Scarlet (2022),19,2
32,Tetris 99 (2019),18,2
33,Octopath Traveler II (2023),18,2
34,Xenoblade Chronicles: Definitive Edition (2020),16,4
35,Astral Chain (2019),15,2
36,Kentucky Route Zero (2013),15,2
37,The Elder Scrolls V: Skyrim (2011),14,2
38,Dark Souls: Remastered (2018),14,2
39,Undertale (2015),14,2
40,Thumper (2016),14,1
41,Super Mario Maker 2 (2019),13,3
42,Bayonetta 2 (2014),13,3
43,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition (2019),13,3
44,Theatrhythm: Final Bar Line (2023),13,1
45,Pikmin 4 (2023),12,3
46,The House in Fata Morgana: Dreams of the Revenants Edition (2019),12,1
47,Fire Emblem Engage (2023),11,2
48,Pokémon Sword (2019),11,2
49,Super Mario 3D All-Stars (2020),10,1
50,Dead Cells: The Queen & the Sea (2022),9,1
51,Divinity: Original Sin II (2017),9,1
52,Golf Story (2017),8,1
53,New Pokémon Snap (2021),8,1
54,The Witcher 3: Wild Hunt (2015),7,2
55,Octopath Traveler (2018),7,1
56,Mario Strikers: Battle League (2022),7,1
57,Divinity: Original Sin II - Definitive Edition (2018),7,2
58,Resident Evil 2 (2019),7,1
59,Disco Elysium (2019),7,1
60,Mario Party Superstars (2021),7,1
61,Tunic (2022),6,1
62,Neon White (2022),6,1
63,Portal (2007),6,2
64,Splatoon 2 (2017),6,1
65,Yoshi's Crafted World (2019),5,1
66,Dead Cells (2018),5,2
67,Return of the Obra Dinn (2018),5,1
68,Dusk (2018),5,1
69,Pikmin 3 Deluxe (2020),4,1
70,Super Mario 3D World + Bowser's Fury (2021),4,1
71,Xenoblade Chronicles 2 (2017),4,1
72,LEGO Star Wars: The Skywalker Saga (2022),4,1
73,Ring Fit Adventure (2019),3,1
74,Tents and Trees (2018),3,1
75,Spelunky 2 (2020),3,1
76,Super Mario 3D World (2013),3,1
77,Love 3 (2021),3,1
78,"Pokémon: Let's Go, Pikachu! (2018)",3,1
79,Dredge (2023),3,1
80,Cuphead (2017),3,1
81,Cruis'n Blast (2021),2,1
82,Paper Mario: The Origami King (2020),2,1
83,Diablo III: Eternal Collection (2017),2,1
84,A Short Hike (2019),2,1
85,No More Heroes III (2021),1,1
86,No More Heroes (2007),1,1
87,Nier: Automata - The End of Yorha Edition (2022),1,1
