Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,15,21,co5vmg
2,Super Mario Odyssey,2017-10-27,26758,14,90,co1mxf
3,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,13,23,co3p2d
4,Splatoon 3,2022-09-09,143613,12,109,co59x3
5,Mario Kart 8 Deluxe,2017-04-28,26764,11,96,co213p
6,Fire Emblem: Three Houses,2019-07-25,26845,10,97,co1n8t
7,Pokémon Legends: Arceus,2022-01-28,144054,9,110,co3d03
8,Super Smash Bros. Ultimate,2018-12-07,90101,8,91,co2255
9,Xenoblade Chronicles 3,2022-07-29,191411,7,89,co4ocq
10,Luigi's Mansion 3,2019-10-31,109455,6,94,co22a9
11,Pikmin 4,2023-07-21,59843,5,1445,co657e
12,Mario + Rabbids Sparks of Hope,2022-10-20,152201,4,262,co52q4
13,The Legend of Zelda: Link's Awakening,2019-09-20,115284,3,103,co1qve
14,Paper Mario: The Origami King,2020-07-17,133923,2,99,co2sai
15,Hollow Knight,2017-02-24,14593,1,145,co1rgi
