Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,15,23,co3p2d
2,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,14,21,co5vmg
3,Metroid Prime Remastered,2023-02-08,236663,13,107,co658o
4,Metroid Dread,2021-10-07,15698,12,93,co39zx
5,Xenoblade Chronicles 3,2022-07-29,191411,11,89,co4ocq
6,Super Smash Bros. Ultimate,2018-12-07,90101,10,91,co2255
7,Super Mario Odyssey,2017-10-27,26758,9,90,co1mxf
8,Persona 5 Royal,2019-10-31,114283,8,108,co1nic
9,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,2019-09-27,110069,7,589,co1x9f
10,Mario Kart 8 Deluxe,2017-04-28,26764,6,96,co213p
11,Fire Emblem: Three Houses,2019-07-25,26845,5,97,co1n8t
12,Xenoblade Chronicles: Definitive Edition,2020-05-29,122238,4,590,co27kt
13,Hades,2019-12-10,113112,3,95,co39vc
14,Kirby and the Forgotten Land,2022-03-25,172427,2,269,co3vlw
15,Monster Hunter Rise,2021-03-26,138950,1,591,co3uzk
