Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Super Mario Odyssey,2017-10-27,26758,15,90,co1mxf
2,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,14,23,co3p2d
3,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,13,21,co5vmg
4,Metroid Prime Remastered,2023-02-08,236663,12,107,co658o
5,Hades,2019-12-10,113112,11,95,co39vc
6,Undertale,2015-09-15,12517,10,413,co2855
7,Dead Cells: The Queen & the Sea,2022-01-06,183128,9,727,co49sa
8,Portal: Companion Collection,2022-06-28,191406,8,724,co4hap
9,Resident Evil 2,2019-01-25,19686,7,354,co1ir3
10,Super Smash Bros. Ultimate,2018-12-07,90101,6,91,co2255
11,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,2019-09-27,110069,5,589,co1x9f
12,Celeste,2018-01-25,26226,4,144,co3byy
13,Tents and Trees,2018-01-03,240056,3,728,co67qf
14,Mario Kart 8 Deluxe,2017-04-28,26764,2,96,co213p
15,Divinity: Original Sin II - Definitive Edition,2018-08-31,103337,1,726,co1y5o
