Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,15,21,co5vmg
2,Super Mario Odyssey,2017-10-27,26758,14,90,co1mxf
3,Animal Crossing: New Horizons,2020-03-19,109462,13,92,co3wls
4,Astral Chain,2019-08-30,115283,12,602,co1lzy
5,Fire Emblem: Three Houses,2019-07-25,26845,11,97,co1n8t
6,Luigi's Mansion 3,2019-10-31,109455,10,94,co22a9
7,Monster Hunter Rise,2021-03-26,138950,9,591,co3uzk
8,Stardew Valley,2016-02-26,17000,8,386,xrpmydnu9rpxvxfjkiu7
9,Hollow Knight,2017-02-24,14593,7,145,co1rgi
10,Metroid Dread,2021-10-07,15698,6,93,co39zx
11,Super Mario Maker 2,2019-06-28,115276,5,603,co21vy
12,Xenoblade Chronicles: Definitive Edition,2020-05-29,122238,4,590,co27kt
13,Bayonetta 2,2014-09-20,2135,3,577,qocwccspgmgamvhaplgp
14,Pokémon Legends: Arceus,2022-01-28,144054,2,110,co3d03
15,Live A Live,1994-09-02,15835,1,187,co2ywe
