Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Luigi's Mansion 3,2019-10-31,109455,15,94,co22a9
2,Super Smash Bros. Ultimate,2018-12-07,90101,14,91,co2255
3,Theatrhythm: Final Bar Line,2023-02-16,217556,13,689,co59tj
4,Xenoblade Chronicles 3,2022-07-29,191411,12,89,co4ocq
5,Hades,2019-12-10,113112,11,95,co39vc
6,Splatoon 3,2022-09-09,143613,10,109,co59x3
7,The Legend of Zelda: Link's Awakening,2019-09-20,115284,9,103,co1qve
8,Bowser's Fury,2021-02-12,142909,8,599,co2pbe
9,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,7,21,co5vmg
10,Super Mario Odyssey,2017-10-27,26758,6,90,co1mxf
11,Pikmin 4,2023-07-21,59843,5,1445,co657e
12,Metroid Dread,2021-10-07,15698,4,93,co39zx
13,Animal Crossing: New Horizons,2020-03-19,109462,3,92,co3wls
14,A Short Hike,2019-07-30,116753,2,691,co6e83
15,Mario + Rabbids Sparks of Hope,2022-10-20,152201,1,262,co52q4
