Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Xenoblade Chronicles 3,2022-07-29,191411,15,89,co4ocq
2,Mario + Rabbids Sparks of Hope,2022-10-20,152201,14,262,co52q4
3,Hades,2019-12-10,113112,13,95,co39vc
4,Metroid Dread,2021-10-07,15698,12,93,co39zx
5,Kirby and the Forgotten Land,2022-03-25,172427,11,269,co3vlw
6,Into the Breach,2018-02-27,27117,10,622,co2gjp
7,Divinity: Original Sin II,2017-09-14,11800,9,705,co1y5v
8,Mario Kart 8 Deluxe,2017-04-28,26764,8,96,co213p
9,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,7,23,co3p2d
10,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,6,21,co5vmg
11,Splatoon 3,2022-09-09,143613,5,109,co59x3
12,LEGO Star Wars: The Skywalker Saga,2022-04-05,119305,4,680,co28yb
13,Dredge,2023-03-30,164867,3,706,co69zw
14,Pikmin 4,2023-07-21,59843,2,1445,co657e
