Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Final Fantasy VII,1997-01-31,427,15,247,co2kx2
2,Metal Gear Solid,1998-09-03,375,14,237,co55sj
3,Resident Evil 2,1998-01-21,880,13,248,co2vz0
4,Silent Hill,1999-02-23,480,12,256,co2vye
5,Gran Turismo 2,1999-12-11,1597,11,244,co20af
6,Tekken 3,1997-03-22,1244,10,242,co3tsh
7,Crash Bandicoot 2: Cortex Strikes Back,1997-10-31,1186,9,299,co55a7
8,The Legend of Dragoon,1999-12-02,3140,8,378,co4pan
9,Tomb Raider II,1997-10-31,1156,7,379,co3whn
10,Spyro the Dragon,1998-09-10,1576,6,266,co3kmh
11,Vagrant Story,2000-02-10,2216,5,267,co2rso
12,Legacy of Kain: Soul Reaver,1999-08-16,4122,4,343,co1yal
13,Castlevania: Symphony of the Night,1997-03-20,1128,3,238,co53m8
14,Suikoden II,1998-12-17,1454,2,340,co1y6a
15,Xenogears,1998-02-11,1346,1,339,co2pp9
