Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Metal Gear Solid,1998-09-03,375,15,237,co55sj
2,Final Fantasy VII,1997-01-31,427,14,247,co2kx2
3,Castlevania: Symphony of the Night,1997-03-20,1128,13,238,co53m8
4,Suikoden II,1998-12-17,1454,12,340,co1y6a
5,Xenogears,1998-02-11,1346,11,339,co2pp9
6,Final Fantasy VI,1994-04-02,426,10,515,co31c2
7,Final Fantasy Tactics,1997-06-20,428,9,342,co2yx4
8,Resident Evil 2,1998-01-21,880,8,248,co2vz0
9,Heart of Darkness,1998-07-04,6433,7,771,co23nl
10,Final Fantasy IX,2000-07-07,421,6,302,co2unc
11,Silent Hill,1999-02-23,480,5,256,co2vye
12,MediEvil,1998-10-09,4000,4,520,co1tjk
13,The Legend of Dragoon,1999-12-02,3140,3,378,co4pan
14,Oddworld: Abe's Exoddus,1998-11-17,1000,2,772,co3pvr
15,Street Fighter Alpha 3,1998-06-29,6704,1,773,co6auw
