Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Metal Gear Solid,1998-09-03,375,15,237,co55sj
2,Gran Turismo 2,1999-12-11,1597,14,244,co20af
3,Final Fantasy VII,1997-01-31,427,13,247,co2kx2
4,Tekken 3,1997-03-22,1244,12,242,co3tsh
5,Castlevania: Symphony of the Night,1997-03-20,1128,11,238,co53m8
6,Xenogears,1998-02-11,1346,10,339,co2pp9
7,Legacy of Kain: Soul Reaver,1999-08-16,4122,9,343,co1yal
8,Ridge Racer Type 4,1998-12-03,18699,8,380,co6bwt
9,Ape Escape,1999-05-31,3762,7,381,co2gzc
10,Sid Meier's Civilization II,1996-02-29,634,6,25,co5x8t
11,Final Fantasy VIII,1999-02-11,425,5,390,co2z7d
12,Resident Evil 2,1998-01-21,880,4,248,co2vz0
13,Driver,1999-06-25,675,3,300,co1yab
14,Chrono Cross,1999-11-18,1804,2,383,co1oj7
15,Crash Bandicoot: Warped,1998-10-31,1187,1,243,co55ae
