Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Persona 4,2008-07-10,9600,15,445,co1u07
2,Grand Theft Auto: San Andreas,2004-10-26,732,14,304,co2lb9
3,Metal Gear Solid 3: Snake Eater,2004-11-17,379,13,305,co5ei5
4,God of War II,2007-03-13,551,12,442,co3dik
5,Shadow of the Colossus,2005-10-18,2207,11,306,co1ozz
6,Final Fantasy X,2001-07-19,418,10,312,co1tr1
7,Resident Evil 4,2005-01-11,974,9,426,co2wk8
8,Silent Hill 2,2001-09-24,481,8,311,co2vyg
9,Kingdom Hearts II,2005-12-22,1221,7,449,co30t1
10,Ōkami,2006-04-20,1271,6,313,co3mpk
11,Katamari Damacy,2004-03-18,6453,5,317,co67mq
12,Tony Hawk's Underground,2003-10-27,2698,4,462,co2g2b
13,Ico,2001-09-24,7170,3,443,co3r78
14,Burnout 3: Takedown,2004-09-07,5761,2,448,co1y53
15,Guitar Hero II,2006-11-07,2670,1,463,co1we2
