Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Grand Theft Auto: San Andreas,2004-10-26,732,15,304,co2lb9
2,Metal Gear Solid 3: Snake Eater,2004-11-17,379,14,305,co5ei5
3,Shadow of the Colossus,2005-10-18,2207,13,306,co1ozz
4,Resident Evil 4,2005-10-25,145191,12,307,co2wki
5,Grand Theft Auto: Vice City,2002-10-27,733,11,308,co2lbb
6,Metal Gear Solid 2: Sons of Liberty,2001-11-13,376,10,309,co5e1c
7,Silent Hill 2,2001-09-24,481,9,311,co2vyg
8,Final Fantasy X,2001-07-19,418,8,312,co1tr1
9,Ōkami,2006-04-20,1271,7,313,co3mpk
10,God of War,2005-03-22,549,6,314,co3ddc
11,Bully,2006-10-17,2720,5,315,co2lc9
12,Jak II,2003-10-14,1529,4,316,co2agi
13,Katamari Damacy,2004-03-18,6453,3,317,co67mq
14,Devil May Cry 3: Dante's Awakening,2005-02-17,136,2,318,co1u6u
15,Psychonauts,2005-04-19,1339,1,319,co38t0
