SourceName,SourceURL,SourceId,GeneratedCsvPath
IGN,https://www.ign.com/articles/the-10-best-ps3-games-of-all-time,94,ign - 2023-04-03_15-10-36.csv
Whatoplay,https://whatoplay.com/ps3/best/,155,whatoplay - 2023-04-03_15-10-37.csv
GamesRadar+,https://www.gamesradar.com/best-ps3-games/,129,gamesradar+ - 2023-04-16_17-33-52.csv
Maioresemelhores,https://www.maioresemelhores.com/melhores-jogos-ps3/,177,maioresemelhores - 2023-04-17_13-34-18.csv
Gaming Gorilla,https://gaminggorilla.com/best-ps3-games/,156,gaming gorilla - 2023-04-17_13-34-19.csv
Denofgeek,https://www.denofgeek.com/games/best-ps3-games/,171,denofgeek - 2023-04-17_13-38-12.csv
PlayStation Universe,https://www.psu.com/news/50-best-ps3-games-of-all-time/,178,playstation universe - 2023-04-17_13-40-42.csv
CBR,https://www.cbr.com/nostalgic-playstation-3-games-hold-up/#the-last-of-us-capped-off-the-ps3-with-one-of-the-best-games-ever-made,179,cbr - 2023-04-17_13-44-59.csv
Dualshockers,https://www.dualshockers.com/10-best-playstation-3-games-ranked/,180,dualshockers - 2023-04-17_13-47-15.csv
Thetoptens,https://www.thetoptens.com/playstation3/playstation-3-games/,181,thetoptens - 2023-04-17_13-49-15.csv
One37pm,https://www.one37pm.com/gaming/best-ps3-games,172,one37pm - 2023-04-17_13-51-33.csv
Techtudo,https://www.techtudo.com.br/google/amp/listas/2024/02/qual-o-melhor-jogo-de-ps3-na-historia-veja-15-games-que-marcaram-epoca-edjogos.ghtml,380,techtudo - 2024-02-26_00-41-28.csv
Destructoid,https://www.destructoid.com/the-best-ps3-games-of-all-time-ranked/,176,destructoid - 2024-04-19_01-57-31.csv
