Position,Title,TotalScore,ListsAppeared
1,The Last of Us (2013),170,12
2,Uncharted 2: Among Thieves (2009),142,11
3,Red Dead Redemption (2010),113,11
4,Grand Theft Auto V (2013),109,11
5,Portal 2 (2011),70,8
6,Metal Gear Solid 4: Guns of the Patriots (2008),70,9
7,Grand Theft Auto IV (2008),59,7
8,Mass Effect 2 (2010),56,6
9,God of War III (2010),54,6
10,Batman: Arkham City (2011),51,8
11,Dark Souls (2011),49,5
12,BioShock (2007),45,7
13,Persona 5 (2016),41,4
14,Journey (2012),38,7
15,LittleBigPlanet (2008),38,5
16,The Elder Scrolls V: Skyrim (2011),29,5
17,Fallout: New Vegas (2010),24,4
18,BioShock Infinite (2013),24,3
19,Gran Turismo 5 (2010),21,2
20,Call of Duty: Modern Warfare 2 (2009),21,3
21,Call of Duty 4: Modern Warfare (2007),19,3
22,The Walking Dead: Season One (2012),18,2
23,Uncharted 3: Drake's Deception (2011),17,3
24,Infamous (2009),16,2
25,Uncharted: Drake's Fortune (2007),16,2
26,Ni no Kuni: Wrath of the White Witch (2011),14,1
27,Resident Evil 5 (2009),14,1
28,Call of Duty: Black Ops (2010),14,2
29,Metal Gear Solid V: The Phantom Pain (2015),13,1
30,Resistance 2 (2008),11,1
31,Call of Duty: World at War (2008),10,1
32,Killzone 2 (2009),10,1
33,Dead Space 2 (2011),9,3
34,LittleBigPlanet 2 (2011),9,1
35,Ratchet & Clank Future: Tools of Destruction (2007),9,1
36,Catherine (2011),8,1
37,Dead Space (2008),7,1
38,Ratchet & Clank Future: A Crack in Time (2009),7,1
39,Ultra Street Fighter IV (2014),7,2
40,Resistance (1970),6,1
41,Super Street Fighter IV: Arcade Edition (2010),6,1
42,Heavy Rain (2010),6,1
43,Prince of Persia (2008),5,1
44,Fallout 3 (2008),5,1
45,ModNation Racers (2010),5,1
46,Assassin's Creed II (2009),5,1
47,Mortal Kombat (2011),4,1
48,Infamous 2 (2011),4,1
49,Wolfenstein: The New Order (2014),4,1
50,XCOM: Enemy Unknown (2012),3,1
51,Valkyria Chronicles (2008),3,1
52,Ōkami HD (2012),3,1
53,Street Fighter IV (2008),2,1
54,Borderlands 2 (2012),1,1
