Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Last of Us,2013-06-14,1009,15,320,co1r7f
2,Uncharted 2: Among Thieves,2009-10-13,565,14,321,co1tnb
3,Metal Gear Solid 4: Guns of the Patriots,2008-06-12,380,13,335,co5eju
4,Red Dead Redemption,2010-05-18,434,12,322,co2lcv
5,Grand Theft Auto V,2013-09-17,1020,11,323,co2lbd
6,God of War III,2010-03-16,499,10,486,co3koi
7,The Elder Scrolls V: Skyrim,2011-11-10,472,9,392,co1tnw
8,BioShock,2007-08-21,20,8,391,co2mli
9,Uncharted 3: Drake's Deception,2011-11-01,512,7,487,co1tp8
10,Heavy Rain,2010-02-18,493,6,489,co3rhy
11,Journey,2012-03-13,1352,5,332,co1q8q
12,Grand Theft Auto IV,2008-04-29,731,4,337,co2lbv
13,Valkyria Chronicles,2008-04-24,7477,3,490,bvmjjiorjpcclmdorauw
14,Batman: Arkham City,2011-10-18,501,2,327,co1voh
