Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Uncharted 2: Among Thieves,2009-10-13,565,15,321,co1tnb
2,Metal Gear Solid 4: Guns of the Patriots,2008-06-12,380,14,335,co5eju
3,Grand Theft Auto IV,2008-04-29,731,13,337,co2lbv
4,God of War III,2010-03-16,499,12,486,co3koi
5,The Last of Us,2013-06-14,1009,11,320,co1r7f
6,Call of Duty 4: Modern Warfare,2007-11-05,623,10,499,co1wko
7,Uncharted 3: Drake's Deception,2011-11-01,512,9,487,co1tp8
8,Red Dead Redemption,2010-05-18,434,8,322,co2lcv
9,Grand Theft Auto V,2013-09-17,1020,7,323,co2lbd
10,Call of Duty: Modern Warfare 2,2009-11-10,559,6,292,co3cwt
11,Assassin's Creed II,2009-11-17,127,5,500,co1rcf
12,LittleBigPlanet,2009-11-17,21911,4,498,co49cl
13,Uncharted: Drake's Fortune,2007-11-16,431,3,496,co1tp7
14,The Elder Scrolls V: Skyrim,2011-11-10,472,2,392,co1tnw
15,Call of Duty: Black Ops,2010-11-09,545,1,480,co1wkl
