Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Alan Wake II,2023-10-17,185246,15,998,co6jar
2,Hades,2019-12-10,113112,14,95,co39vc
3,Kentucky Route Zero: TV Edition,2020-01-28,55198,13,2988,co1xix
4,Norco,2022-03-24,129097,12,155,co3nu3
5,Elden Ring,2022-02-25,119133,11,10,co4jni
6,Control: Ultimate Edition,2020-08-27,136604,10,358,co2ewb
7,Ratchet & Clank: Rift Apart,2021-06-11,134582,9,162,co2str
8,Astro's Playroom,2020-11-12,134597,8,156,co2gw7
9,Disco Elysium,2019-10-15,26472,7,185,co1sfj
10,Balatro,2024-02-20,251833,6,2140,co752b
11,Thank Goodness You're Here!,2024-08-01,262538,5,2850,co6yyq
12,Street Fighter 6,2023-06-02,191692,4,844,co5vst
13,Citizen Sleeper,2022-05-05,152271,3,250,co4zl5
14,Metaphor: ReFantazio,2024-12-31,26602,2,2202,co7hkn
15,A Plague Tale: Innocence,2019-05-14,27316,1,406,co1lat
