Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,God of War Ragnarök,2022-11-09,112875,15,143,co5s5v
2,Elden Ring,2022-02-25,119133,14,10,co4jni
3,Astro Bot,2024-09-06,303811,13,2352,co8hl0
4,Marvel's Spider-Man 2,2023-12-31,127044,12,991,co5vrx
5,Horizon Forbidden West,2022-02-18,112874,11,17,co2gvu
6,Sackboy: A Big Adventure,2020-11-12,134585,10,166,co4522
7,Returnal,2021-04-30,134584,9,164,co3wc1
8,Final Fantasy VII Rebirth,2023-12-31,133236,8,1001,co4vp0
9,Helldivers 2,2024-02-08,250616,7,2196,co741o
10,Resident Evil Village,2021-05-06,55163,6,127,co2zpu
11,Mortal Kombat 11: Ultimate,2020-11-17,139446,5,714,co2kh5
12,Gran Turismo 7,2022-03-04,101006,4,359,co2g84
13,Disco Elysium: The Final Cut,2021-03-30,141540,3,431,co2ve1
14,Astro's Playroom,2020-11-12,134597,2,156,co2gw7
15,Demon's Souls,2020-11-12,134606,1,356,co2kj9
