Position,Title,TotalScore,ListsAppeared
1,Metal Gear Solid: Peace Walker (2010),70,5
2,God of War: Ghost of Sparta (2010),56,5
3,Final Fantasy Tactics: The War of the Lions (2007),43,4
4,Persona 3 Portable (2009),32,5
5,Kingdom Hearts Birth by Sleep (2010),31,3
6,Grand Theft Auto: Vice City Stories (2006),30,3
7,Monster Hunter Freedom Unite (2008),27,3
8,Daxter (2006),26,5
9,Crisis Core: Final Fantasy VII (2007),26,3
10,Lumines (2004),23,2
11,LocoRoco 2 (2008),21,4
12,Grand Theft Auto: Liberty City Stories (2005),18,2
13,Castlevania: The Dracula X Chronicles (2007),17,2
14,Valkyria Chronicles 2 (2010),16,3
15,Lumines: Puzzle Fusion (2007),16,2
16,God of War: Chains of Olympus (2008),15,1
17,Patapon 3 (2011),14,2
18,Grand Theft Auto: Chinatown Wars (2009),14,1
19,Tekken 6 (2009),13,1
20,Patapon (2007),11,1
21,Wipeout Pure (2005),11,2
22,Secret Agent Clank (2008),10,1
23,Syphon Filter: Logan's Shadow (2007),9,1
24,Syphon Filter: Dark Mirror (2006),8,2
25,Monster Hunter Freedom (2005),8,1
26,Power Stone Collection (2006),7,1
27,Disgaea: Afternoon of Darkness (2006),5,1
28,MediEvil: Resurrection (2005),4,1
29,Gran Turismo (2009),2,1
30,Dissidia 012: Duodecim Final Fantasy (2011),1,1
31,Ridge Racer (2004),1,1
