Position,Title,TotalScore,ListsAppeared
1,Beat Saber (2019),15,1
2,Astro Bot: Rescue Mission (2018),14,1
3,Tetris Effect (2018),13,1
4,Job Simulator: The 2050 Archives (2016),12,1
5,Resident Evil 7: Biohazard (2017),11,1
6,Doom VFR (2017),10,1
7,SuperHot VR (2016),9,1
8,Blood & Truth (2019),8,1
9,Firewall Zero Hour (2018),7,1
10,WipEout: Omega Collection (2017),6,1
11,Thumper (2016),5,1
12,Trover Saves the Universe (2019),4,1
13,Falcon Age (2019),3,1
14,Vacation Simulator (2019),2,1
15,No Man's Sky: Beyond (2019),1,1
