Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Walking Dead: Saints & Sinners,2020-01-23,105416,15,50,co1tgc
2,Gran Turismo 7,2022-03-04,101006,14,359,co2g84
3,Pistol Whip,2019-11-07,119341,13,67,co1swl
4,Resident Evil Village,2021-05-06,55163,12,127,co2zpu
5,Moss: Book II,2022-03-31,154839,11,43,co4hdf
6,Synth Riders: Remastered Edition,2023-02-22,235073,10,969,co65sm
7,Tetris Effect: Connected,2020-05-14,135999,9,70,co2krv
8,Moss,2018-02-27,37095,8,42,co1i1j
9,Pavlov VR,2017-02-27,30548,7,44,co24q9
10,Horizon Call of the Mountain,2023-02-22,186309,6,210,co4ti4
11,Demeo,2021-05-06,144763,5,35,co2vf8
12,Rez Infinite,2016-10-13,19746,4,48,co24ov
13,The Light Brigade,2023-02-22,224505,3,970,co66z5
14,Star Wars: Tales from the Galaxy's Edge,2020-11-19,134957,2,973,co2p8e
15,Song in the Smoke,2021-10-07,145450,1,977,co3iwp
