Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: A Link to the Past,1991-11-21,1026,15,372,co3vzn
2,Chrono Trigger,1995-03-11,1802,14,519,co3plw
3,Super Metroid,1994-03-19,1103,13,373,co5osy
4,Final Fantasy VI,1994-04-02,426,12,515,co31c2
5,Super Mario World,1990-11-21,1070,11,371,co65za
6,Street Fighter II Turbo,1993-07-11,18626,10,567,co1w9x
7,Super Mario World 2: Yoshi's Island,1995-08-05,1073,9,568,co2kn9
8,Super Mario Kart,1992-08-27,2332,8,512,co21w8
9,Star Fox,1993-02-21,8581,7,569,co6air
10,Super Mario RPG: Legend of the Seven Stars,1996-03-09,5418,6,570,co5r6p
11,Secret of Mana,1993-08-06,3216,5,571,co2u6w
12,Mega Man X,1993-12-17,1741,4,572,co3tu2
13,EarthBound,1994-08-27,2899,3,573,co3shr
14,Final Fantasy IV,1991-07-19,16587,2,574,co31c0
15,Tetris,1994-12-30,236647,1,28,co64q2
