Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Super Mario Galaxy 2,2010-05-23,1078,15,430,co21tl
2,Super Mario Galaxy,2007-11-01,1077,14,429,co21ro
3,The Legend of Zelda: Twilight Princess,2006-11-19,1036,13,535,co3mtv
4,Resident Evil 4: Wii Edition,2007-05-31,21533,12,2990,co20ch
5,Metroid Prime: Trilogy,2009-08-24,1112,11,1516,co404a
6,Super Smash Bros. Brawl,2008-01-31,1628,10,544,co221w
7,New Super Mario Bros. Wii,2009-11-12,2178,9,546,co21tj
8,Xenoblade Chronicles,2010-06-10,2364,8,549,co2609
9,Ōkami,2006-04-20,1271,7,313,co3mpk
10,Monster Hunter Tri,2009-08-01,2268,6,1518,co2ssf
