Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Twilight Princess,2006-11-19,1036,15,535,co3mtv
2,The Legend of Zelda: Skyward Sword,2011-11-18,534,14,543,co5wrj
3,Super Mario Galaxy,2007-11-01,1077,13,429,co21ro
4,Super Mario Galaxy 2,2010-05-23,1078,12,430,co21tl
5,Metroid Prime: Trilogy,2009-08-24,1112,11,1516,co404a
6,Donkey Kong Country Returns,2010-11-21,1100,10,545,co1wf4
7,Super Smash Bros. Brawl,2008-01-31,1628,9,544,co221w
8,New Super Mario Bros. Wii,2009-11-12,2178,8,546,co21tj
9,Mario Kart Wii,2008-04-10,2183,7,878,co214e
10,Wii Sports,2006-11-19,2181,6,423,co3vge
11,Xenoblade Chronicles,2010-06-10,2364,5,549,co2609
12,Super Paper Mario,2007-04-09,2191,4,552,co21rp
13,Sin & Punishment: Star Successor,2009-10-29,1468,3,1512,co2mk1
14,Wii Sports Resort,2009-07-24,2182,2,879,co2may
15,Tatsunoko vs. Capcom: Ultimate All Stars,2010-01-26,2275,1,547,co1ydx
