Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,15,23,co3p2d
2,The Legend of Zelda: The Wind Waker HD,2013-09-26,2276,14,575,co3ozi
3,Mario Kart 8,2014-05-29,2350,13,576,co213q
4,Bayonetta 2,2014-09-20,2135,12,577,qocwccspgmgamvhaplgp
5,Donkey Kong Country: Tropical Freeze,2014-02-13,2923,11,578,co1wf2
6,Splatoon,2015-05-28,7335,10,579,co2hwo
7,Super Smash Bros. for Wii U,2014-11-21,9602,9,580,co213x
8,Pikmin 3,2013-07-13,2241,8,581,co1p9e
9,The Legend of Zelda: Twilight Princess HD,2016-03-04,18017,7,582,co3mqa
10,Xenoblade Chronicles X,2015-04-29,2366,6,583,co1nwh
11,Rayman Legends,2013-08-29,193359,5,584,co4jot
12,Shovel Knight,2014-06-26,7444,4,528,co1p9i
13,Super Mario 3D World,2013-11-21,2180,3,585,co21vd
14,Batman: Arkham City,2011-10-18,501,2,327,co1voh
15,Super Mario Maker,2015-09-10,7339,1,586,co21vl
