Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Halo 2,2004-11-09,986,15,375,co1x77
2,Fable,2004-09-14,521,14,793,co2q4c
3,Halo: Combat Evolved,2001-11-15,740,13,153,co2r2r
4,Star Wars: Knights of the Old Republic,2003-07-15,116,12,790,co1tmz
5,The Elder Scrolls III: Morrowind,2002-05-01,56,11,800,co2knd
6,Psychonauts,2005-04-19,1339,10,319,co38t0
7,Grand Theft Auto: Vice City,2002-10-27,733,9,308,co2lbb
8,Ninja Gaiden,2004-03-02,5972,8,791,co30ac
9,Jet Set Radio Future,2002-02-22,1570,7,795,co2e4p
10,Project Gotham Racing,2001-11-15,3320,6,1586,co1uol
