Position,Title,TotalScore,ListsAppeared
1,Grand Theft Auto V (2013),15,1
2,The Witcher 3: Wild Hunt (2015),14,1
3,Red Dead Redemption 2 (2018),13,1
4,Assassin's Creed Valhalla (2020),12,1
5,Doom Eternal (2020),11,1
6,Hitman 3 (2021),10,1
7,Control (2019),9,1
8,It Takes Two (2021),8,1
9,Inside (2016),7,1
10,Sekiro: Shadows Die Twice (2019),6,1
11,Halo: The Master Chief Collection (2014),5,1
12,Gears 5 (2019),4,1
13,Forza Horizon 4 (2018),3,1
14,Ori and the Will of the Wisps (2020),2,1
15,Metal Gear Solid V: The Phantom Pain (2015),1,1
