Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Forza Horizon 5,2021-11-09,141503,15,360,co3ofx
2,Hogwarts Legacy,2023-02-10,136625,14,20,co2gn3
3,Marvel's Guardians of the Galaxy,2021-10-26,152249,13,364,co39pu
4,Halo Infinite,2021-11-15,103281,12,361,co2dto
5,Elden Ring,2022-02-25,119133,11,10,co4jni
6,Mortal Kombat 11: Ultimate,2020-11-17,139446,10,714,co2kh5
7,LEGO Star Wars: The Skywalker Saga,2022-04-05,119305,9,680,co28yb
8,Hitman 3,2021-01-20,134595,8,135,co29lt
9,Dead Space,2023-01-27,159119,7,88,co5esn
10,Resident Evil Village: Gold Edition,2022-10-28,204722,6,715,co5qwq
