Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Elden Ring,2022-02-25,119133,15,10,co4jni
2,Forza Horizon 5,2021-11-09,141503,14,360,co3ofx
3,Sea of Thieves,2018-03-20,11137,13,366,co2558
4,Resident Evil Village,2021-05-06,55163,12,127,co2zpu
5,Tunic,2022-03-16,23733,11,268,td1t8kb33gyo8mvhl2pc
6,Pentiment,2022-11-15,204623,10,254,co4v1e
7,The Forgotten City,2021-07-28,103320,9,723,co3muu
8,Halo Infinite,2021-11-15,103281,8,361,co2dto
9,Gears Tactics,2020-04-28,103291,7,719,co1uzk
10,Psychonauts 2,2021-08-24,14741,6,362,co1sod
11,Hades,2019-12-10,113112,5,95,co39vc
12,Hi-Fi Rush,2023-01-25,233585,4,722,co6219
13,Halo: The Master Chief Collection,2014-11-11,7348,3,368,co1t95
14,Cuphead,2017-09-29,9061,2,600,co62ao
15,Ori and the Will of the Wisps,2020-03-10,37001,1,369,co2e1l
