Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Total War: Warhammer II,2017-09-28,28028,15,1539,co23go
2,Europa Universalis IV,2013-08-13,1904,14,1538,co1rby
3,Crusader Kings III,2020-09-01,124954,13,962,co2g3i
4,Stellaris,2016-05-09,11582,12,1540,co1r75
5,Hearts of Iron IV,2016-06-06,15894,11,1541,co1j86
6,Total War: Three Kingdoms,2019-05-23,80961,10,1051,co1rdc
7,Victoria II,2010-08-13,11037,9,1549,co1zs1
8,Hegemony III: Clash of the Ancients,2015-08-25,11524,8,1565,rlnvjohlafm9z0donrcj
9,Imperator: Rome,2019-04-25,102060,7,1556,co22lq
10,Age of History II,2018-11-21,188228,6,1555,co5xud
